,titles,years,ratings,actors_list
207,Hotel Rwanda,(2004),8.06090744708114,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
208,Rocky,(1976),8.058584560511107,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
209,Dead Poets Society,(1989),8.057584779924106,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
210,Tôkyô monogatari,(1953),8.056968120669088,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
211,Platoon,(1986),8.055310960120735,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
212,Ford v Ferrari,(2019),8.052706764984752,"James Mangold (dir.), Matt Damon, Christian Bale"
213,The Terminator,(1984),8.052297561396943,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
214,Stand by Me,(1986),8.051863152649183,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
215,Rush,(2013),8.049348970076448,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
216,Into the Wild,(2007),8.048197513867422,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
217,Logan,(2017),8.046703432962138,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
218,The Wizard of Oz,(1939),8.046690271876047,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
219,Spotlight,(2015),8.044912326351266,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
220,Network,(1976),8.0429127983882,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,Groundhog Day,(1993),8.041576386940866,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
222,Ratatouille,(2007),8.038539705213614,"Brad Bird (dir.), Brad Garrett, Lou Romano"
223,The Exorcist,(1973),8.038248750858095,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
224,Hachi: A Dog's Tale,(2009),8.035226651372865,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
225,The Incredibles,(2004),8.03489003742708,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
226,The Best Years of Our Lives,(1946),8.033353307449149,"William Wyler (dir.), Myrna Loy, Dana Andrews"
227,Dersu Uzala,(1975),8.032933741668021,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
228,Before Sunset,(2004),8.032925872056683,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
229,Rebecca,(1940),8.030642699800197,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
230,Babam ve Oglum,(2005),8.029737295880675,"Cagan Irmak (dir.), Eser Sariyar, Çetin Tekindor"
231,The Grapes of Wrath,(1940),8.029162438379835,"John Ford (dir.), Henry Fonda, Jane Darwell"
232,Cool Hand Luke,(1967),8.028789169466892,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
233,To Be or Not to Be,(1942),8.027749564976785,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
234,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.027509342250367,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
235,La battaglia di Algeri,(1966),8.027477934124823,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
236,Amores perros,(2000),8.027288633950613,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
237,Dune: Part One,(2021),8.026259071816709,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson"
238,The Sound of Music,(1965),8.023206379602934,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
239,Life of Brian,(1979),8.022113031770997,"Terry Jones (dir.), Graham Chapman, John Cleese"
240,Les quatre cents coups,(1959),8.021261766698567,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241,Persona,(1966),8.02125921946235,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
242,It Happened One Night,(1934),8.020536080524286,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,La haine,(1995),8.019716076132337,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
244,Aladdin,(1992),8.018398259069068,"Ron Clements (dir.), Scott Weinger, Robin Williams"
245,Beauty and the Beast,(1991),8.016710277422094,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson"
246,Gandhi,(1982),8.01540696088618,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
247,The Help,(2011),8.014468688004888,"Tate Taylor (dir.), Emma Stone, Viola Davis"
248,Ah-ga-ssi,(2016),8.012894320127316,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
249,Dances with Wolves,(1990),8.008817061804193,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
